Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"30/10/23, 15:11:02","Admin Lms",-,System,Logs,"Log report viewed","The user with id '2' viewed the log report for the course with id '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:10:25",-,-,"Site home",System,"Course viewed","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:10:25","Rick Gentle",-,System,System,"User logged out","The user with id '5' has logged out.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:10:21","Rick Gentle",-,"Course: 자바 기초",System,"Course viewed","The user with id '5' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:10:19","Rick Gentle","Rick Gentle","URL: 학습분석 위키페이지",System,"Course activity completion updated","The user with id '5' updated the completion state for the course module with id '7' for the user with id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:09:27","Rick Gentle",-,"URL: 학습분석 위키페이지",URL,"Course module viewed","The user with id '5' viewed the 'url' activity with course module id '7'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:09:25","Rick Gentle",-,"Course: 자바 기초",System,"Course viewed","The user with id '5' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:09:23","Rick Gentle","Rick Gentle","Page: 자바의 개요",System,"Course activity completion updated","The user with id '5' updated the completion state for the course module with id '6' for the user with id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:09:07","Rick Gentle",-,"Page: 자바의 개요",Page,"Course module viewed","The user with id '5' viewed the 'page' activity with course module id '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:09:05","Rick Gentle",-,"Course: 자바 기초",System,"Course viewed","The user with id '5' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:09:01","Rick Gentle",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '5' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:09:00","Rick Gentle",-,"Course: 자바 기초",System,"Course viewed","The user with id '5' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:57","Rick Gentle",-,"Forum: 공지사항",Forum,"Course module viewed","The user with id '5' viewed the 'forum' activity with course module id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:56","Rick Gentle",-,"Course: 자바 기초","User tours","Tour ended","The user with id '5' has ended the tour with id '1' at step index '0' (id '1') on the page with URL 'http://localhost/course/view.php?id=3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:54","Rick Gentle",-,"Course: 자바 기초","User tours","Tour started","The user with id '5' has started the tour with id '1' on the page with URL 'http://localhost/course/view.php?id=3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:54","Rick Gentle",-,"Course: 자바 기초",System,"Course viewed","The user with id '5' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:53","Rick Gentle",-,System,"User tours","Tour ended","The user with id '5' has ended the tour with id '3' at step index '0' (id '5') on the page with URL 'http://localhost/my/courses.php'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:53","Rick Gentle",-,System,"User tours","Tour started","The user with id '5' has started the tour with id '3' on the page with URL 'http://localhost/my/courses.php'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:53","Rick Gentle",-,System,System,"My courses viewed","The user with id '5' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:49","Rick Gentle","Rick Gentle","User: Rick Gentle","User tours","Tour started","The user with id '5' has started the tour with id '4' on the page with URL 'http://localhost/my/'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:49","Rick Gentle","Rick Gentle","User: Rick Gentle",System,"Dashboard viewed","The user with id '5' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:48","Rick Gentle",-,System,System,"User has logged in","The user with id '5' has logged in.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:34",-,-,"Site home",System,"Course viewed","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:34","Learn Second",-,System,System,"User logged out","The user with id '4' has logged out.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:06","Learn Second",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '4' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:08:01","Learn Second",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '4' has viewed the discussion with id '3' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
